VENDOR,PARTNUMBER,DESCRIPTION,LOCATION,QUANTITY,CONDITION
HUAWEI,52413602,ODU(XMC-2H-7G Microwave Outdoor Unit -RTN XMC -7G --2H -154MHz -Sub Band D -Low site -H  -7128MHz -7184MHz -Without doc -WR-112 -H01,150122PILv,2,USED
HUAWEI,52413777,ODU(XMC-3) Microwave ODU -RTN XMC -26G --3 -High site -H -25557MHz -25893MHz -24549MHz -24885MHz -Without doc -WR-42 -H01 -1008MHz -Sub Band A -25557MHz -25893MHz,150122PILv,2,USED
TEKTRONIX,870005212,Board for TEKTRONIX Chassis,150122PILv,2,USED
TEKTRONIX,870029800,Board for TEKTRONIX Chassis,150122PILv,2,USED
TEKTRONIX,870092900,Board for TEKTRONIX Chassis,150122PILv,2,USED
NOKIA,3AL38426AA,Board,150122PILv,2,USED
NOKIA,3FE26698AB,Board for NANT-A NOKIA 7302ISAM,150122PILv,2,USED
NOKIA,3AL81295AA,Board P16S16 Board,150122PILv,2,USED
ERICSSON,LBB-RAID-II,Board,150122PILv,2,USED
ERICSSON,ROA1284191/1,Board,150122PILv,2,USED
ERICSSON,ROA2191123/61,Board,150122PILv,2,USED
CISCO,BPX-BXM-E3-8E,Bpx ATM E3 Switch Module BAA649SCAA,150122PILv,2,USED
CISCO,BPX-BCC-4V/B,Broandband Controller Board - 20 GBPS - W/128MB DRAM - 4MB BRAM BPX-BCC-4V/B,150122PILv,2,USED
CISCO,WS-C6509,C6509,150122PILv,2,USED
HUAWEI,03020JNL,TN51EFI1 - EMI Filter Interface Board,150122PILv,2,USED
HUAWEI,03051912,[MRP6600 MR01NIU0 Network Interface Unit],150122PILv,2,USED
HUAWEI,03030QBM,CR5D00C4CF71  4-Port Channelized STM-1c POS-SFP Physical Interface Card(PIC),150122PILv,2,USED
HUAWEI,02311DUV,WD2ME2PDU03D - PDU,150122PILv,2,USED
HUAWEI,03026BAR,TN51AST2 BIDIRECTIONAL OPTICAL SUPERVISORY CHANNEL AND TIMING TRANSMISSION UNIT,150122PILv,2,USED
HUAWEI,03030GBY,TN11DCU07 Dispersion Compensation Unit(S -5km -for G.652),150122PILv,2,USED
HUAWEI,03030SVN,TN13OBU101 C-BAND Optical Booster Unit(MAX -4dBm IN and 16dBm OUT -Gain 20dB),150122PILv,2,USED
HUAWEI,03030SVQ,TN13OBU104	C-BAND Optical Booster Unit(MAX -1dBm IN and 16dBm OUT -Gain 17dB),150122PILv,2,USED
HUAWEI,034070258,TN52OACE101 Pluggable Optical Amplifier - Extended C-band - Gain 20~31dB - Max 21.5dBm Out - Support WD,150122PILv,2,USED
HUAWEI,03030MDD,TN11MCA802 8-Channel Spectrum Analysis Board -Monitoring 40Gbps Signal,150122PILv,2,USED
HUAWEI,03030LMF,TN11AUX02 OptiX OSN 6800 System Auxiliary Interface Board,150122PILv,2,USED
HUAWEI,03030KRK,TN11ITL04 Interleaver Board(C Band -Dual Module) - OSN 8800,150122PILv,2,USED
HUAWEI,03030QLX,TN12RDU901 9-Port ROADM Splitting Board(C_Band),150122PILv,2,USED
TDK,FPS-S1U,PSU 1U RACK 3 SLOT FOR FPS1000 / TDK-LAMBDA,150122PILv,2,USED
HUAWEI,02130809,Rectifier Module,150122PILv,2,USED
ELTEK,242100.200,Smartnode RS232_RS485,150122PILv,2,USED
ELTEK,242100.114,Smartpack GB RS232,150122PILv,2,USED
ELTEK,242100.410,SMARTPACK S Controller,150122PILv,2,USED
DELTA,DPS-600RB,Power Supply,150122PILv,2,USED
CISCO,PWR-6000-DC,6000W DC PS for CISCO7609/7609-S/13 - Cat6506/09/13,150122PILv,2,USED
CISCO,800-33781-02,ASR9K AC Power Entry Module (RACKMOUNT),150122PILv,2,USED
CISCO,C3KX-PWR-715WAC,CATALYST 3K-X 715W Power Supply,150122PILv,2,USED
CISCO,CISCO2901-K9,CISCO 2901 w/2 GE -4 EHWIC -2 DSP -256MB CF -512MB DRA,150122PILv,2,USED
CISCO,CISCO888G-K9,CISCO 888 G.SHDSL Router configurable with a,150122PILv,2,USED
HUAWEI,02318425,BTS3900/A -WD5MMRFU78B -V2 -Multi-Mode Transceiver Unit -900M RX890-915MHz/TX935-960MHz,150122PILv,2,USED
HUAWEI,02316791,RRU3804 -WD5MARU261 -DISTRIBUTED BASE STATION RADIO,150122PILv,2,USED
ALLIED TELESYS,AT-9924TL-EMC2,Allied Telesis AT-9924TL-EMC2 24 Port +4 SFP 16MB Flash Gigabit Switch,150122PILv,2,USED
XPEECH,XSG8000-4S4P,XPEECH.Analog Voice Over IP Gateway,150122PILv,2,USED
TEKTRONIX,870058100,FPC200,150122PILv,2,USED
TEKTRONIX,870054000,LPC200,150122PILv,2,USED
SIEMENS,S42024-L5233-A100,IFOFES-E,150122PILv,2,USED
RADISYS,A6K-RSM-J,A6K-RSM-J ATCA,150122PILv,2,USED
RADISYS,ATCA-7240,OCTEON II CN68XX,150122PILv,2,USED
RADISYS,ATCA-5010,RADISYS 6000 Board A-5010-,150122PILv,2,USED
RADISYS,ATCA-2210,RADISYS6000 Board ATCA-SWH-6505-R1,150122PILv,2,USED
RADISYS,ATCA-7240-IO-RTM,transition Module,150122PILv,2,USED
RAD DATA,RADFCD-E1,Fractional E1 Access Units,150122PILv,2,USED
NOKIA,3AL81269AA,1670 SM 16XSTM-1 HIGH SPEED PROTECTION,150122PILv,2,USED
NOKIA,3AL79076AA,1678 MCC TERMINATION BUS Board,150122PILv,2,USED
NOKIA,3HE00033AA,7750 SR MDA-16 Port OC3/STM1 POS,150122PILv,2,USED
NOKIA,3AG24102AB,FLCCONGI ENH,150122PILv,2,USED
NOKIA,8DG15235AA,SSY - 4XGE SFP ES-16 ACCESS,150122PILv,2,USED
NOKIA,3AL81429AA,1678 MCC HIGH ORDER MATRIX 640 GB (4096XSTM1),150122PILv,2,USED
NOKIA,3AL98240AA,8XSTM-1/2XSTM-4 PORT SFP,150122PILv,2,USED
NOKIA,3AL81915AB,ISA-ES16,150122PILv,2,USED
JUNIPER,CB-M120-S-C,IPUCAHMCTC Chassis 710-011403 ,150122PILv,2,USED
JUNIPER,SRX3K-SPC-1-10-40,JUNIPER LINE Board - NEW,150122PILv,2,USED
JUNIPER,SRX3K-2XGE-XFP-A,MSC - Module - 2X10GE XFP CFM FOR SRX 3X00,150122PILv,2,USED
JUNIPER,RE-S-1800X4-16G-S-D,Quad Core 1800Ghz with 16G Memory - Redundant - MX s,150122PILv,2,USED
IBM,BYP-0T-4S-0L,IBM NETWORK,150122PILv,2,USED
HUAWEI ,03058336,IX620 SERVICE Board,150122PILv,2,USED
HUAWEI,03058661,ANKD001EY101 BOARD,150122PILv,2,USED
HUAWEI,03021PTG,1-PORT VDSL2 OVER POTS WAN INTERFACE CARD BOARD,150122PILv,2,USED
HUAWEI,03022FWW,"ANDD002PIU00 Power Interface Board
",150122PILv,2,USED
HUAWEI,03054389,ANDD32E11202 32 Channels E1 Interface Board(120ohm),150122PILv,2,USED
HUAWEI,03022STN,AR-2X10GL-W 2-Port 10GE Optical Ports Interface Card,150122PILv,2,USED
HUAWEI,03051746,CN21USI1,150122PILv,2,USED
HUAWEI,03057111,CN25UPBA6  - UNIVERSAL PROCESS BLADE  - 1CPU+3*8G DDR3+2*300G HDD OSTA2.0,150122PILv,2,USED
HUAWEI,02120664,CN2E01FMB OSTA.2 8290 FRAME Fan Unit,150122PILv,2,USED
HUAWEI,02120408,CN2E2IFFB  - OSTA2.0 INTEGRATED FRAME Fan Unit ,150122PILv,2,USED
HUAWEI,03030GED,CR52SRUA1 NETENGINE40E SWITCH AND ROUTE PROCESSING UNIT A,150122PILv,2,USED
HUAWEI,03051250,EGS4 Board SSN1EGS412,150122PILv,2,USED
HUAWEI,02310GBM,ES5M0PSD1700 1700W DC power Module,150122PILv,2,USED
HUAWEI,03058335,EX920 SERVICE Board ,150122PILv,2,USED
HUAWEI,02300612,GEPS4890-30AR DC EMBEDDED POWER SYSTEM,150122PILv,2,USED
HUAWEI,02270059,HUAWEI DC/DC POWER Module -3700W --5DEGC -55DEGC --38V,150122PILv,2,USED
HUAWEI,02675010,HUAWEI Optix OSN 1500 PIUA Board,150122PILv,2,USED
HUAWEI,03020QES,LE0MG24SD 24-Port 100/1000BASE-X Interface Board(ED,150122PILv,2,USED
HUAWEI,03020NES,LEOMG48TD 48-Port 100/1000BASE-T Interface Card(ED.RJ45),150122PILv,2,USED
HUAWEI,03053896,MRP6600  - MR01MPF3  - MULTIMEDIA SERVICE PROCESS- 2*MRM BOARD,150122PILv,2,USED
HUAWEI,03030DTY,OPTIX OSN 6800 -TN11SC101 -UNIDIRECTIONAL OPTICAL SUPERVISORY CHANNEL BOARD,150122PILv,2,USED
HUAWEI,03051334,OSN 1500B SSN2SLO1 (S-1.1 -LC) 8 XSTM - 1 BOARD,150122PILv,2,USED
HUAWEI,03020JUL,OSN 8800 - TN51AUX - System Auxiliary Interface Board,150122PILv,2,USED
HUAWEI,02113095,Osn500 Tnhb00case01,150122PILv,2,USED
HUAWEI,02113090,S9306 ASSEMBLY Chassis,150122PILv,2,USED
HUAWEI,03053030,SE01ESRU0 SBC ENHANCED SWITCH AND ROUTE PROCESSING BOARD,150122PILv,2,USED
HUAWEI,03769210,SL64 BOARD  1xSTM-64 Optical Interface Board,150122PILv,2,USED
HUAWEI,03020REB,SL91CXPR| OPTIX RTN 950  MULTI PROTOCOL AND CROSS-CONECT PROCESSING CARD,150122PILv,2,USED
HUAWEI,03037127,SS-PL3 3xE3/T3 Service Processing Board,150122PILv,2,USED
HUAWEI,03706410,SSN1GSCC01 - OSN3500 System control and communication Board,150122PILv,2,USED
HUAWEI,03030GGW,SSN1SLD6402  OSN 3500 2xSTM-64 Optical Interface Board,150122PILv,2,USED
HUAWEI,02300665,SSN1SUBRACK01 Type III Subrack OSN 3500,150122PILv,2,USED
HUAWEI,03030ESL,SSN2PQ1B01 63xE1 Service Processing Board 120ohm,150122PILv,2,USED
HUAWEI,03020CQV,SSN4GSCC System Control and Communication Board,150122PILv,2,USED
HUAWEI,03053487,TNM1EM6F-4 * FE (RJ45)/2 *GE Fast/Gigabit Ethernet Board with Switch Function,150122PILv,2,USED
HUAWEI,03030YSB,TNS1CTU01 SYSTEM CONTROL AND COMMUNICATION BOARD WITH CLOCK PROCESSING FUNCTION ,150122PILv,2,USED
HUAWEI,02121114,TNS1FCD| - Fan Unit,150122PILv,2,USED
HUAWEI,03030RXG,TNV1T401C01|OPTIX OSN 9800 -TNV1T401C01 -1*100G TRIBUTARY SERVICE PROCESSING BOARD (CFP) BOARD,150122PILv,2,USED
HUAWEI,03020XCN,WBBPD3,150122PILv,2,USED
HUAWEI,03024CFA,WD22UBBPEM BASEBAND PROCESSING UNIT  - DBS5900,150122PILv,2,USED
HUAWEI,03052275,WP23LPUF50CA00 03020KGT  DMPU  daughter multi-purpose process unit  DMPU  subcard,150122PILv,2,USED
HUAWEI,02310QSM,xPON/GE Multi-service Access Module Assembly Chassis(double DC.2GE ETH+2GE ETH/Fiber COMBO.supporting 3 CLOCK.without Optical Transceiver).,150122PILv,2,USED
GENBAND,805-0073-141,GENBAND Board G9 AI,150122PILv,2,USED
GENBAND,805-0099-141,GENBAND G9 Board SG-1,150122PILv,2,USED
GENBAND,805-0070-144,GENBAND G9 Board SI,150122PILv,2,USED
GENBAND,805-0077-142,GENBAND T9 Board PAC,150122PILv,2,USED
GENBAND,805-0079-142,GENBAND T9 Board VS-813,150122PILv,2,USED
GENBAND,805-0072-141,GP9 Board GENBAND Gbe,150122PILv,2,USED
F5,F5-BIG-LTM-3600-E-R,F5-BIG-LTM-3600-E-R w/ LTM - MAX SSL - ARM - Advanced Routing Bundle,150122PILv,2,USED
ERICSSON,ROA1284190/2,SMART SERVICES CARD - SSC1-V2 - SSR,150122PILv,2,USED
ERICSSON,NBA101032/1,CCF - 24 E1/T1,150122PILv,2,USED
ERICSSON,ROJ206003/1,CCU-3,150122PILv,2,USED
ERICSSON,CPCI-744,Controller board PENT/CPCI-744 1G-1100-L1,150122PILv,2,USED
ERICSSON,ROJ207091/1,CTB,150122PILv,2,USED
ERICSSON,ROJ208454/1,GEP2-12GB4F Board,150122PILv,2,USED
ERICSSON,ROJ208128/1,GPBv3 (General Processing Board version 3) PRINTED,150122PILv,2,USED
ERICSSON,ROJ207503/1,IPNX,150122PILv,2,USED
ERICSSON,BFB10951/2,LARGE NODE IPNA 768MB BFB 109 51/2 W03 BFB10951/2 LBB/AM RAID CPCI-730 APG40C/2 node,150122PILv,2,USED
ERICSSON,BFB10987/1,LBB/LN/C24,150122PILv,2,USED
ERICSSON,UKL50157/21L,MINI-LINK 6352 - ML6352  Terminal - 100 Mbps Base,150122PILv,2,USED
ERICSSON,ROJ208453/1,PMDM.,150122PILv,2,USED
ERICSSON,ROJ208143/2,PRINTED Board ASSEMB/IBENV4 ,150122PILv,2,USED
ERICSSON,ROJ1192254/7,PRINTED Board ASSEMB/TX6HS-03;TRANSMITTE,150122PILv,2,USED
ERICSSON,UKL40166/A26HP,RA2 X10 /A26HP Transmission 10GHZ,150122PILv,2,USED
ERICSSON,ROJ208436/1,RPBI-S.,150122PILv,2,USED
ERICSSON,ROJ1192325/1R1C,SAU3 ,150122PILv,2,USED
ERICSSON,ROJ1192334/2,SCB-DF,150122PILv,2,USED
ERICSSON,ROJ208438/1,SPU.,150122PILv,2,USED
ERICSSON,BFC101102,SUBRACK,150122PILv,2,USED
ERICSSON,ROJ20720/1,TS4B,150122PILv,2,USED
ERICSSON,ROJ208305/1,XNB BOARD,150122PILv,2,USED
ERICSSON,UKL40163/A06HP,RAU2 X 23/A06HP Transmission 23ghz High,150122PILv,2,USED
COMPAQ,PS-6301-1,Power Supply,150122PILv,2,USED
CISCO,SPA-1XCHSTM1/OC3,1-PORT CHANNELIZED STM-1/OC-3C TO DS0 SHARED PORT,150122PILv,2,USED
CISCO,VWIC2-2MFT-T1/E1,2-Port 2nd Gen Multiflex Trunk Voice/WAN  Int. Car,150122PILv,2,USED
CISCO,WS-C3850-48T-S,48-Port RJ-45 Stackable GE Switch + C3850-NM-4-10G 1x PSU,150122PILv,2,USED
CISCO,BPX-BXM-155-4DX,8600 4-Port OC-3/STM-1 Module.,150122PILv,2,USED
CISCO,BPX-SMF-155-4-BC,8600 Series BPX 4 port OC3 Board Single Mode BA3APYUCAA,150122PILv,2,USED
CISCO,WS-SVC-AGM-1-K9,ANOMALY GUARD Module FOR CISCO 6500/7200 Series,150122PILv,2,USED
CISCO,ACE20-MOD-K9,APPLICATION Control ENGINE SERVICE Module,150122PILv,2,USED
CISCO,C3KX-NM-1G,Catalyst 3K-X 1G Network Module option PID,150122PILv,2,USED
CISCO,WS-C6504-E,Catalyst 6500 Enhanced 4-slot chassis -5RU -no PS -no Fan Tray,150122PILv,2,USED
CISCO,SPA-2XT3/E3,CISCO 1-Port Channelized STM-1/OC-3c - 2- And 4-Port Clear Channel T3/E3 - And 2- And 4-Port Channelized T3 to DS0 Shared Port Adapter,150122PILv,2,USED
CISCO,WS-X6148-RJ-45,CISCO 48-port 10/100 switch Module,150122PILv,2,USED
CISCO,N7K-M206FQ-23L,CISCO 7009 Series Board,150122PILv,2,USED
CISCO,341-0186,CISCO 7600 POWER Module,150122PILv,2,USED
CISCO,7600-SIP-400,CISCO 7600 Series SPA Interface Processor - 400,150122PILv,2,USED
CISCO,ASR-9010-ROUTER,CISCO ASR 90010 ROUTER Chassis,150122PILv,2,USED
CISCO,ASR1000-SIP10,CISCO ASR1000 SPA Interface Processor 10,150122PILv,2,USED
CISCO,ASR1002-PWR-AC,CISCO ASR1002-PWR-AC AC Power Supply ,150122PILv,2,USED
CISCO,N7K-F312FQ-25,CISCO Nexus 7000 F3-Series 12-Port 40 Gigabit Ethernet Module,150122PILv,2,USED
CISCO,N7K-M202CF-22L,CISCO Nexus 7000 M2-Series 2-Port 100GbE Board,150122PILv,2,USED
CISCO,7600-ES+40G3CXL,ETHERNET SERVICE Module ,150122PILv,2,USED
CISCO,N7K-C7010,CISCO Nexus 7010 Chassis (ver. : v3 - ),150122PILv,2,USED
CISCO,SPA-2XOC12-POS,OC12/STM4 POS Shared Port Adapter,150122PILv,2,USED
CISCO,ASR5K-RCC-K9,Redundancy Crossbar,150122PILv,2,USED
CISCO,ASA5550-BUN-K9,SSM-4GE ASA 5500 Firewall 3DES/AES.,150122PILv,2,USED
CISCO,WS-F6K-PFC3BXL,SUP720 PFC-3BXL,150122PILv,2,USED
CISCO,SF300-24,SWITCH  24 PORT,150122PILv,2,USED
CISCO,WS-C3650-48TS,SWITCH IP BASE CISCO,150122PILv,2,USED
CISCO,WS-X6K-SUP1A-2GE,WS-X6K-SUP1A-2GE,150122PILv,2,USED
CISCO,ASR5K-0110G-MM-K9,XGLC 1-Port 10 Gigabit Ethernet Line Board w/MM SFP,150122PILv,2,USED
,350_24T_4G,350_24T_4G-Eu 24 Port Managed Gigabit Switch,150122PILv,2,USED
,S42024-L5267-A100-5,S42024-L5267-A100-5-hiT 7070 S42024-L5267-A 100 IFS10GB,150122PILv,2,USED
KATHREIN,78210660,Dual-Band Combiner,150122PILv,1,USED
KATHREIN,78210644,Quad-Band Combiner,150122PILv,1,USED
HUAWEI,27030489,Outdoor Combiner -2100&1800 -Dual Band Single Unit -1710MHz~1880MHz -1920MHz~2170MHz -Q DIN/female -6/17 DIN/female,150122PILv,1,USED
HUAWEI,52431122,A26S03HAC Microwave Antenna -A26S03HAC -26G -300mm -HP -Single Polarization -Direct(XMC)/Separate(All RTN ODU) Mount -36.6dBi -2.5deg -63dB -30dB -,150122PILv,1,USED
HUAWEI,52432444,A80S03MAC-3NX Microwave Antenna -A80S03MAC-3NX -80G -300mm -UHP-M -Single Polarization -Direct(XMC)/Separate(All RTN ODU) Mount -46dBi -0.8deg -30dB,150122PILv,1,USED
COMMSCOPE,E15S08P71,Tower Mounted Amplifier - Dual UMTS 2100 with AISG,150122PILv,1,USED
RADISYS,TD140CHASSIS,Chassis,150122PILv,1,USED
HUAWEI,02300652,"TN1K3AFB Assembly Subrack(OSN 6800).
",150122PILv,1,USED
CISCO,BAMAMHOERD,CISCO BPX8600 Series BAMAMHOERD SWITCH Chassis,150122PILv,1,USED
CISCO,WS-4507R-E,Cat4500 E-Series 7-Slot Chassis - fan - no ps - Red Sup Capable (WS-C4507R+E Replacement Product),150122PILv,1,USED
NOKIA ,3HE00191BA,7750 SR-7  High Flow Fan Tray,150122PILv,1,USED
NOKIA,3AL79773AA,"1660 SM FANS SHELF 19""",150122PILv,1,USED
HUAWEI,02120516,TN1E2FAN,150122PILv,1,USED
HUAWEI,02120406,BSC 32 FAN - CR5E2TSR,150122PILv,1,USED
HUAWEI,02120481,BSC 6600 H80F01FCBB81 - Fan Unit for 48-port VDSL2,150122PILv,1,USED
HUAWEI,02311VGW,FANd WD2M000FAN 2U FAN MODULE ,150122PILv,1,USED
HUAWEI,02120244,FANSSRX000FAN00 - OPTIX OSN 1500 Fan Unit,150122PILv,1,USED
CISCO,WS-C6504-E-S32-GE,6504-E Chasis  Fan Tray  Sup32-GE,150122PILv,1,USED
RADISYS,SW-2000,aTCA-3150S/TK SW-2000 AdvancedTCA Processor Blade,150122PILv,1,USED
RADISYS,SYS6000,Radisys Chassis Chassis SYS6000 48VDC 90AMP,150122PILv,1,USED
NOKIA,IP01200,NOKIA REGULATORY MODEL IP01200,150122PILv,1,USED
IQ,SINGULUSG2X,OS2-00G2X-001,150122PILv,1,USED
CITRIX,CITRIX12000,Netscaler 8 port SFP Application Firewall,150122PILv,1,USED
CHECKPOINT,CONNECTRA-9072,Check Point Connectra 9072 Security Appliance,150122PILv,1,USED
CHECKPOINT,CHECKPOINTP-10,CHECK POINT P-10,150122PILv,1,USED
CHECKPOINT,CHECKPOINTP-20,CHECK POINT P-20,150122PILv,1,USED
HUAWEI,52442974,OMT26-A Microwave electric Accessory -OMT26-A -26G -153IEC-R220,150122PILv,1,USED
HUAWEI,52450832,Full Outdoor MicroWave -RTN 320 -23G --3 -F233LA -Low site -H -22260MHz -22610MHz -23268MHz -23618MHz -DC -7 -Without doc -WR-42 -H01 -1008MHz -Sub Band B -22260MHz -22610MHz,150122PILv,1,USED
HUAWEI,52413310,Microwave ODU -Optix Sub-6GHz-5.4G- PTP54500&Bandwidth License&Extended Warranty-5470MHz- 5725MHz-,150122PILv,1,USED
HUAWEI,52414903,Microwave ODU -RTN XMC -26G --3E -High site -H -25557MHz -25893MHz -24549MHz -24885MHz -1008MHz -Sub Band A -25557MHz -25893MHz,150122PILv,1,USED
HUAWEI,52413883,ODU XMC-3Microwave ODU -RTN XMC -23G --3 -High site -H -23268MHz -23618MHz -22260MHz -22610MHz -Without doc -WR-42 -H01 -1008MHz -Sub Band B -23268MHz -23618MHz.,150122PILv,1,USED
HUAWEI,52412509,ODU(XMC-2-15G) Microwave Outdoor Unit -RTN XMC -15G --2 -728MHz -Sub Band A -High site -H  -15228MHz -15353MHz -without doc -WR-62 -H01. RTN 950,150122PILv,1,USED
HUAWEI,52413271,ODU(XMC-2-23G)  Microwave Outdoor Unit -RTN XMC -23G --2 -1008MHz -Sub Band C -High site -H  -23268MHz -23618MHz -Without doc -WR-42 -H01.,150122PILv,1,USED
HUAWEI,52413075,ODU(XMC-2-38G) Microwave Outdoor Unit - RTN XMC -38G --2 -1260MHz -Sub Band A -Low site -H  -37044MHz -37632MHz -Without doc -WR-28 -H01.,150122PILv,1,USED
HUAWEI,52413603,ODU(XMC-2H-7G) Microwave Outdoor Unit -RTN XMC -7G --2H -154MHz -Sub Band C -Low site -H -7512MHz -7568MHz -Without doc -WR-112 -H01,150122PILv,1,USED
HUAWEI,52413607,ODU(XMC-2H-7G) Microwave Outdoor Unit -RTN XMC -7G --2H -154MHz -Sub Band F -High site -H  -7366MHz -7422MHz -Without doc -WR-112 -H01,150122PILv,1,USED
HUAWEI,52413606,ODU(XMC-2H-7G) Microwave Outdoor Unit -RTN XMC -7G --2H -154MHz -Sub Band F -Low site -H  -7212MHz -7268MHz -Without doc -WR-112 -H01,150122PILv,1,USED
HUAWEI,52414068,ODU(XMC-3-7G) Microwave ODU -RTN XMC -7G --3 -Low site -H -7212MHz -7268MHz -7366MHz -7429MHz -Without doc -WR-112 -H01 -154MHz/161MHz -Sub Band F/R -7212MHz/7212MHz -7268MHz/7268MHz,150122PILv,1,USED
TEKTRONIX,LP-2000,Board,150122PILv,1,USED
TEKTRONIX,870005200,Board for HD1200 TEKRONIX,150122PILv,1,USED
RADISYS,ATCA-5400-CPU-RTM-OEM,Board for TEKTRONIX Chassis,150122PILv,1,USED
RADISYS,MPCBL0001F04,C55360-022,150122PILv,1,USED
NOKIA,3AL80407AA,Board ,150122PILv,1,USED
NOKIA,3AL78816AA,Board SERGI,150122PILv,1,USED
ERICSSON,ROJ1192106/5,Board,150122PILv,1,USED
CISCO,WS-X4506-GB-T,Board,150122PILv,1,USED
CISCO,CRS-8-RP,Board ,150122PILv,1,USED
CISCO,BAL8DPODAB,BPX T3/E3 CISCO Board FOR 8600 CISCO 73-2759-02-BO,150122PILv,1,USED
HUAWEI,03021CGE,TN16SCC System Control and Communication Board,150122PILv,1,USED
HUAWEI,03033LAH,CR5D0EFGFM70 24 port 100 / 1000Base-X-SFP MACSEC flexible card (P53) NE40E-X3A,150122PILv,1,USED
HUAWEI,03050FQJ,CR5DLPUFME73 Flexible Card Line Processing Unit E (LPUF-485-E) ) ,150122PILv,1,USED
CISCO,WS-X6716-10GE,  CISCO Catalyst 6500 16-port 10 Gigabit Ethernet fiber Module,150122PILv,1,USED
RADISYS,MPRTM0040S00Q,D38077-012 Board for TEKTRONIX Chassis / Intel MPRTM0040 Rear Transition Module,150122PILv,1,USED
NOKIA,3AL97042AB,POWER Board NOKIA,150122PILv,1,USED
NOKIA,X8345R,Power Supply ETA Distribution ,150122PILv,1,USED
NOKIA,3AL78830AA,1660 SM Control And Common I/F,150122PILv,1,USED
HUAWEI,03030HAJ,TN11DCU02 Dispersion Compensation Unit (B - 40Km -for G.652),150122PILv,1,USED
HUAWEI,03030HAN,TN11DCU06 Dispersion Compensation Unit (F - 120km - for G.652),150122PILv,1,USED
HUAWEI,03030SVP,TN13OBU103	C-BAND Optical Booster Unit(MAX -3dBm IN and 20dBm OUT -Gain 23dB),150122PILv,1,USED
HUAWEI,03030SVR,TN13OBU105	C-BAND Optical Booster Unit(MAX 0dBm IN and 23dBm OUT -Gain 23dB),150122PILv,1,USED
HUAWEI,03021ETT,TNF1LDX 2*10Gbit/s Wavelength Conversion Board,150122PILv,1,USED
HUAWEI,03023BTJ,TNF2LDX 2*10Gbit/s Wavelength Conversion Board OSN1800 OSN8800,150122PILv,1,USED
NOKIA,3AL78823AA,1660 SM 4XSTM1 ELECTR. PORT/1,150122PILv,1,USED
HUAWEI,03020LTK,TNHD00PL3T01 3*E3/T3 Electrical Interface Board,150122PILv,1,USED
HUAWEI,03033BST,TN55OPM801	8 channel flexible bandwidth optical power monitor board,150122PILv,1,USED
HUAWEI,03030GFK,TN11M4002 40-channel Multiplexing Board(C_Odd -196.05THz~192.15THz -100GHz -Thermal AWG -LC),150122PILv,1,USED
HUAWEI,03030DXE,TN11WSD901 OPTIX OSN 6800 9-PORT WAVELENGTH SELECTIVE SWITCHING DEMULTIPLEXING BOARD C_EVEN,150122PILv,1,USED
HUAWEI,03030KAA,TNF1MR802 8-ch Add/Drop Multiplexer -100GHz(192.9/193.0/193.1/193.2/193.3/193.4/193.5/193.6THz),150122PILv,1,USED
HUAWEI,03021QAM,03021QAM-OPTICAL CARD TM20,150122PILv,1,USED
HUAWEI,03021TUT,03021TUT-SN1EFS0A01 EFSOA Optical Board,150122PILv,1,USED
HUAWEI,03028HGP,03028HGP-OptiX OSN 9800 M12 03028HGP TMP2MON3201 OXC,150122PILv,1,USED
HUAWEI,03030UUP,03030UUP-TN96WSM9 OptiX OSN 8800,150122PILv,1,USED
HUAWEI,03052885,03052885-8xSTM-1 & 8xSTM-4 Optical Interface Board,150122PILv,1,USED
HUAWEI,03030ESQ,TN11VA101 RMU9 BOARD,150122PILv,1,USED
HUAWEI,03030GXA,TN13FIU01 -OSN 9800 Fiber Interface Board,150122PILv,1,USED
HUAWEI,03021DHQ,TN53NS201 1 x 10G Line Service Processing Board,150122PILv,1,USED
HUAWEI,03021CYJ,TN53TDX01 2*10g Tributary Service Processing Board,150122PILv,1,USED
CISCO,WS-X6408A-GBIC,Gigabit Ethernet Optical Interface Module - 8 ports; 1000BASE-SX - ‑LX/LH - ‑ZX - -T; 1000BASE-CWDM - ‑DWDM; SC connecter,150122PILv,1,USED
CISCO,WS-X6416-GBIC,Gigabit Ethernet Optical Interface Module 16 port,150122PILv,1,USED
TDK,FPS3000-48/P,Lambda Rack Mount Power Supplies 1000W 48V 63A dat,150122PILv,1,USED
Motorola,PWRXP9246,Magnetek Power Supply board,150122PILv,1,USED
IBM,2145UPS-1UENVIRONMENT,Battery Backup UPS 31P1318 ssg520m,150122PILv,1,USED
HUAWEI,02315111,BTS3606 EPMU01 Power Supply RECTIFIER - GM51DEPM,150122PILv,1,USED
HUAWEI,01071381,Rectifier EPU05A-02,150122PILv,1,USED
HUAWEI,02310FJD,Rectifier Module - R4850 - 2U - 3000W - High Efficiency,150122PILv,1,USED
EMERSON,BML440051/1,Rectifier,150122PILv,1,USED
CISCO,PWR-2700-AC,2700W AC Power Supply for CISCO 7604/6504-E,150122PILv,1,USED
HUAWEI,02120472,DC POWER DISTRIBUTION UNIT - DCDU-03B,150122PILv,1,USED
HUAWEI,03020CKS,DC Power Input Unit,150122PILv,1,USED
CISCO,CISCO1941,1900 Series,150122PILv,1,USED
CISCO,CISCO3845,3845 CISCO Router Mother Board,150122PILv,1,USED
