VENDOR,PARTNUMBER,Description,LOCATION,QUANTITY,CONDITION
HUAWEI,03021YVH,TNM1EGS4 - 4-port Gigabit Ethernet Switching Processing Board,150122PILv,2,SPARE
HUAWEI,03022ACJ,HERT BBU -WD22UBRIb - Universal BaseBand Radio Interface Board type B,150122PILv,225,SPARE
HUAWEI,03022AUH,TN12AUX - OSN 8800 System Auxiliary Interface Board,150122PILv,1,SPARE
HUAWEI,03022JGB,WRONG PN,150122PILv,3,SPARE
HUAWEI,03022PYL,TNF1CE601 6-ports Encrypted Optical Board,150122PILv,1,SPARE
HUAWEI,03022TLJ,SLF2CSHO 16*E1(TDM)/2*STM-1(SFP)/4*GE(RJ45)/2*GE(SFP) Hybrid System Control and Cross-connect Board,150124TJKn,11,SPARE
HUAWEI,03022VHK,SL91ISM6 Versatile Dual IF Board,150124TJKn,3,SPARE
HUAWEI,030230MNS,03020MNS,150122PILv,0,SPARE
HUAWEI,03023GHT,SL91EM6D RTN 950 2*10GE/GE+4*GE Ethernet Service Processing Board with Super Dual Band Feature,150124TJKn,3,SPARE
HUAWEI,03023NRR,TN52SRAPXF SUPER EXTENED C-BAND BACKWARD RAMAN BASE BOARD WITH 1 PLUGGABLE ERBIUM DOPED FIBER HYBRID OPTICAL AMPLIFIER AND XFIU (RAMAN GAIN 14-18DB FOR G.652),150122PILv,0,SPARE
HUAWEI,03024HRC,SL91EM6 4*GE(SFP/RJ45)+2*FE(RJ45) Gigabit Ethernet Board with switch function RTN 950a,150124TJKn,12,SPARE
HUAWEI,03024LTC,TN52DAP EXTENTED C BAND OA BASE Board,150122PILv,2,SPARE
HUAWEI,03024QLM,SL91ISM8 Versatile Dual IF Board RTN 950a,150124TJKn,49,SPARE
HUAWEI,03024QLU,SL91CSHUF| TDM/HYBRID/PACKET LARGE CAPACITY SYSTEM CONTROL AND CROSS-CONNECT BOARD,150124TJKn,23,SPARE
HUAWEI,03024RHJ,BASEBAND PROCESSING AND INTERFACE UNIT-wd2dubbpf100,150124TJKn,2,SPARE
HUAWEI,03024YKV,TMP1CTU01 System Control and Communication Board With Clock Processing Function,VODAFONE,3,SPARE
HUAWEI,03030ESS,TN11OBU101 OSN 6800 C-BAND Optical Booster Unit ,150122PILv,1,SPARE
HUAWEI,03030HAM,TN11DCU05 Dispersion Compensation Unit (E - 100km -for G.652),150122PILv,3,SPARE
HUAWEI,03030HSS,NO REFERENCE,150122PILv,1,SPARE
HUAWEI,03030LBV,CN21ETIA1  - UNIVERSAL REAR BOARD,150122PILv,2,SPARE
