item_code,description,vendor,Consumable or not,
37521,1+1 ODU Remote Mount 15GHz,Ceragon,1,
37522,1+1 ODU SÄ°NGLE MOYNT 13GHZ,,1,
37523,"1+1 ODU Remote Mount, 18GHz",Ceragon,1,
37524,1+1 ODU SÄ°NGLE MOUNT 23 GHZ,,1,
37525,"1+1 ODU Remote Mount, 38GHz",Ceragon,1,
37526,1+1 ODU Remote Mount 6-7GHz,Ceragon,1,
37527,1+1 ODU REMOTE MOUNT 11 GHZ,,1,
37528,1500SP FH DÄ°RECT MOUNT 7/8GHZ,,1,
37529,Diplexer 6GHz TxRx 340MHz 01,Ceragon,1,
37530,2ft DP Antenna 11GHz Ceragon,Ceragon,1,
37531,4ft DP Antenna 11GHz Ceragon,Ceragon,1,
37532,4ft DP Antenna 6GHz,Ceragon,1,
37533,6ft DP Antenna 6GHz,Ceragon,1,
37534,8ft DP Antenna 6GHz,Ceragon,1,
37535,IDU 640 CHASSÄ°S,,1,
37536,IDC 640 CONTROL UNIT,NSN,1,
37537,IDM-640 RADIO UNIT,NSN,1,
37538,"IDM-MUX, UP TO 64E1",NSN,1,
37539,MUX BLANK UNÄ°T,,1,
37540,IDM-FE 100BTX FAST ETHERNET+8E1,NSN,1,
37659,SWCOP-A 1.9-0 EPROMS,,1,
37659,SWCOP-A 1.9-0 EPROMS,TDR FINLAND,1,
37694,Shelf for Eltek 3U CO power systems,,1,
37703,ET1E 1.11-0 EPROM,,1,
37703,ET1E 1.11-0 EPROM,,1,
37715,ET2E-S 1.1-0 EPROMS,,1,
37715,ET2E-S 1.1-0 EPROMS (SINGLE),TDR FINLAND,1,
37817,ET2E-S 1.2-0 EPROMS,,1,
37817,ET2E-S 1.2-0 EPROMS (SINGLE),TDR FINLAND,1,
37834,ET1E-C 1.12-0 EPROMS,,1,
37834,ET1E-C 1.12-0 EPROMS,,1,
37859,Shelf for Eltek 6U CO power systems,,1,
37880,CL3TG 1.37-0 EPROMS,,1,
37880,CL3TG 1.37-0 EPROMS (SINGLE),TDR FINLAND,1,
37881,CL1TG 1.37-0 EPROMS,,1,
37881,CL1TG 1.37-0 EPROMS (PAIR),TDR FINLAND,1,
37885,SWCOP 1.9-0 EPROMS,,1,
37885,SWCOP 1.9-0 EPROMS (PAIR),TDR FINLAND,1,
38006,PMP HT ANTENNA 26GHZ 90DEG V.POL ENH.,,1,
38007,PMP HT ANTENNA 26GHZ 90DEG H.POL ENH.,,1,
38008,PMP UPGRADE KÄ°T FOR HT ANTENNA 26GHZ 90,,1,
38327,10ft DP Antenna 6Ghz HP Andrew,Ceragon,1,
38328,1+0 ODU Remote Mount 6-7G WR137,Ceragon,1,
38329,8ft DP Antenna 7Ghz HP Andrew,Ceragon,1,
38331,Diplexer 7GHz 154MHz Block B,Ceragon,1,
38680,PMP HT COMP DUAL ANTENNA ASSY VPOL E,,1,
38681,PMP HT COMP DUAL ANTENNA ASSY HPOL E,,1,
38693,XPIC ODU 11GHZ HIGH TX LOW,NSN,1,
