VENDOR,PART NUMBER,DESCRIPTION,MARKET PRICE (EUR),LAST FOUND LIST PRICE (USD),Weight,Dimension ,Remarks
3COM,TC84D-1313,130A DC Power Supply TYPE 9 PSU,,,,,
3YPOWER,AP-1421-1B02N,420W Power Supply,,,,,
3YPOWER,AP-1421-1BA1,PSU,,,,,
3YPOWER,YM-2451CAR,Power Supply,,,,,
A10,THUNDER3030S,Application Delivery Controller ,€2 -189.6,$0.00,,,
AASTRA,BMLBS10102/6,PSU-19INCH,,,,,
AASTRA,PDM68741.016,Aastra 142d,,,,,
ABB,23NG20,pcb card 5hyn266126p0001,,,,,
ABB,23NG23,1K61005400R5001 Processor module,,,,,
ABB,23ZG20,PCB CARD,,,,,
ACCEDIAN,AMN-1000-TE,Accedian AMN-1000-TE Network Interface Device ,€115.0,$0.00,,,
ACCELINK,8DG16581AA,OFC-MU/PC-MU/PC-S-20 Optical Cable,,,,,
ACME,TK150A4-48-M,SWITCHING Power Supply,,,,,
ACTELIS,501R00027,ACTELIS ML628,,,,,
ACTELIS,501RG0016,ACTELIS ML622,,,,,
ACTELIS,501RG0027,ACTELIS ML628,,,,,
ACTELIS,501RG0046,ACTELIS ML624,,,,,
ACTELIS,501RG0064,ACTELIS ML624i,,,,,
ADVA,0013200000,SHDCM/1HU,,,,,
ADVA,0013300003,DEFLECTOR,,,,,
ADVA,0013300006,DCM-SHELF,,,,,
ADVA,0040000101,FAN CONTROL MODULE,,,,,
ADVA,0040400101,Power Supply,,,,,
ADVA,0040700001,PSU/7HU-DC,,,,,
ADVA,0040700002,FSP3000R7   PSU/7HU-AC,,,,,
ADVA,0042000026,FAN FILLTER,,,,,
ADVA,0042700001, FAN UNIT 7HU PANEL,,,,,
ADVA,0061000055,SFP/HS/1310S SM/LC,,,,,
ADVA,0061000056,SFP/2G5U/1310S SM/LC,,,,,
ADVA,0061000057,SFP/HS/850I/MM/LC,,,,,
ADVA,0061000058,2G1/850I/MM/LC ,,,,,
ADVA,0061000091,SFP/2G5U/C1470V SM/LC,,,,,
ADVA,0061000093,SFP/2G5U/C1510V SM/LC,,,,,
ADVA,0061000094,2G5U/C1530V/SM/LC,,,,,
ADVA,0061000095,SFP/2G5U/C1550V SM/LC,,,,,
ADVA,0061000096,SFP/2G5U/C1570V SM/LC,,,,,
ADVA,0061000181,XFP/10G/1310S/SM/LC,,,,,
ADVA,0061000201,SFP/2G5U/D1530.33V SM/LC #01,,,,,
ADVA,0061000203,SFP/2G5U/D1533.47V SM/LC#03,,,,,
ADVA,0061000204,SFP/2G5U/D1535.04V/SM/LC#04,,,,,
ADVA,0061000205,SFP/2G5U/D1538.19V SM/LC#05,,,,,
ADVA,0061000206,SFP/2G5U/D1539.77V SM/LC#06,,,,,
ADVA,0061000207,SFP/2G5U/D1541.35V SM/LC#07,,,,,
ADVA,0061000208,SFP/2G5U/D1542.94V SM/LC#08,,,,,
ADVA,0061000209,SFP/2G5U/D1547.72 SM/LC#09,,,,,
ADVA,0061000210,SFP/2G5U/D1549.32V/SM/LC#10,,,,,
ADVA,0061000215,SFP/2G5U/D1558.98V/SM/LC,,,,,
ADVA,0061000216,SFP/2G5U/D1560.61V SM/LC#16,,,,,
ADVA,0061000465,SFP/HS-HT/1310S SM/LC,,,,,
ADVA,0061000567,SFP/4GU/1310S SM/LC,,,,,
ADVA,0061001002,SFP/STM16/1310S SM/LC,,,,,
ADVA,0061001004,SFP/STM16/1550V/SM/LC,,,,,
ADVA,0061001010,SFP/HS/850I MM/LC,,,,,
ADVA,0061001011,SFP/HS/1310S SM/LC,,,,,
ADVA,0061003002,SFP/LS/1310S SM/LC,,,,,
ADVA,0061701801,XFP/10G/1310S SM/LC,,,,,
ADVA,0061701802,XFP/10G/1550L/SM/LC,,,,,
ADVA,0061701811,XFP/11G/1310S/SM/LC,,,,,
ADVA,0061702692,SFP/4GU/C1490L SM/LC,,,,,
ADVA,0061702693,SFP/4GU/C1510L SM/LC,,,,,
ADVA,0061702694,SFP/4GU/C1530L SM/LC,,,,,
ADVA,0061702695,SFP/4GU/C1550L SM/LC,,,,,
ADVA,0061704495,SFP/2G5U/C1550V/SM/LC,,,,,
ADVA,0061704496,SFP/2G5U/C1570V SM/LC,,,,,
ADVA,0061704503-03,SFP/2G5U/D1531.12U/SM/LC#D03,,,,,
ADVA,0061704691,SFP/2G5U/C1470L SM/LC,,,,,
ADVA,0061704693,SFP/2G5U/C1510L SM/LC,,,,,
ADVA,0061704693-1,SFP/2G5U//C1510L/SM/LS,,,,,
ADVA,0061704695-1,SFP/2G5U/C1550L/SM/LC,,,,,
ADVA,0061704696,SFP/2G5U/C1570L,,,,,
ADVA,0061705824,SFP/HS/1310S SM/LC,,,,,
ADVA,0061705827,SFP/CL/1310I/SM/LC,,,,,
ADVA,0061705844-03,SFP/2G1/850I/MM/LC,,,,,
ADVA,0061705847,SFP/HS/850I/MM/LC,,,,,
ADVA,0061706093,SFP/ FE/ C1510EI/ SM/ LC,,,,,
ADVA,0063204095,NEMI,,,,,
ADVA,0063204096,DEMI-V2,,,,,
ADVA,0063204100,OSCM,,,,,
ADVA,0063204940,WCM-PLR,,,,,
ADVA,0063204950,C2TCM-PLR HS-MCHS,,,,,
ADVA,0063204963,CWCM-PL,,,,,
ADVA,0063205001,DWCM,,,,,
ADVA,0063205002,DWCM,,,,,
ADVA,0063205015,DWCM,,,,,
ADVA,0063205016,DWCM,,,,,
ADVA,0063205025,DWCM LS-T-1310L,,,,,
ADVA,0063205026,DWCM LS-T-1310L,,,,,
ADVA,0063206014,D4TCM,,,,,
ADVA,0063206105,8TMC/LS,,,,,
ADVA,0063206106,D8TCM,,,,,
ADVA,0063206204,D2TCM-HS-MCHS-1310L,,,,,
ADVA,0063206302,D2TCM,,,,,
ADVA,0063206303,2TCM,,,,,
ADVA,0063206701,D2TCM-PL-HS-MCHS,,,,,
ADVA,0063206703,2TCM-PL,,,,,
ADVA,0063206704,D2TCM-PL-HS-MCHS,,,,,
ADVA,0063206718,D2TCM-PLHS-MCHS - CHANNEL 18,,,,,
ADVA,0063206729,D2TCM-PL-HS-MCHS,,,,,
ADVA,0063206730,D2TCM-PL-HS-MCHS,,,,,
ADVA,0063206801,DWCM-PL,,,,,
ADVA,0063206803,DWCM-PL,,,,,
ADVA,0063206804,DWCM-PL,,,,,
ADVA,0063206806,DWCM-PL,,,,,
ADVA,0063206807,DWCM-PL,,,,,
ADVA,0063206808,DWCM-PL,,,,,
ADVA,0063206809,DWCM-PL/2.5GBIT/S-MC2G,,,,,
ADVA,0063206811,DWCM-PL 2.5Gbit/s-MC2G,,,,,
ADVA,0063206812,DWCM-PL 2.5Gbit/s-MC2G,,,,,
ADVA,0063206819,DWCM-PL/2G5 MC2G-CHANNEL 19,,,,,
ADVA,0063206820,DWCM - PL/2G5 MC2G-CHANNEL 20,,,,,
ADVA,0063206901,DWCM-PL 10G-MC10G CHANNEL 1,,,,,
ADVA,0063206902,DWCM-PL,,,,,
ADVA,0063207001,4BSM-LC,,,,,
ADVA,0063207101,MDXM + 1-4 INTERFACE MODULE,,,,,
ADVA,0063207109,MDXM+ 9-12,,,,,
ADVA,0063207117,MDXM+ 17-20,,,,,
ADVA,0063207125,MDXM + 25-28,,,,,
ADVA,0063207205,MDXM - 5-8,,,,,
ADVA,0063207213,MDXM-13-16,,,,,
ADVA,0063207221,MDXM - 21-24,,,,,
ADVA,0063207229,MDXM-29-32,,,,,
ADVA,0063207401,2BSM-AB,,,,,
ADVA,0063207402,CMDXM-A,,,,,
ADVA,0063207403,CMDXM-B,,,,,
ADVA,0063207800,EDFA-C,,,,,
ADVA,0063207802,DCM-40KM,,,,,
ADVA,0063300002,FSP-3000 MUX/DEMUX MODULE ,,,,,
ADVA,0063300003,MDXM,,,,,
ADVA,0063300004,MDXM 13-16,,,,,
ADVA,0063300017,8BSM,,,,,
ADVA,0063300018,8 BSM-OSF,,,,,
ADVA,0063300019,NEMI ,,,,,
ADVA,0063300024,OSFM -OPTICAL SUPERVISORY,,,,,
ADVA,0063300040,EDFA-C 63300040,,,,,
ADVA,0063300042,EDFA-CC,,,,,
ADVA,0063300044,EDFA-LL,,,,,
ADVA,0063300045,DCM-40 / plug-in,,,,,
ADVA,0063300046,NEMI-V2,,,,,
ADVA,0063300047,DEMI-A-V2,,,,,
ADVA,0063300059,OSCM-HP,,,,,
ADVA,0063300203,EDFA-P-C,,,,,
ADVA,0063300205,4BSM-C,,,,,
ADVA,0063300215,PSM-APR,,,,,
ADVA,0063301006, WCM,,,,,
ADVA,0063301007,WDM CHANNEL MODULE,,,,,
ADVA,0063301008,WCM,,,,,
ADVA,0063301009,WCM # 9 FC2488,,,,,
ADVA,0063301010,WCM#10,,,,,
ADVA,0063301011,WCM#11 FC2488,,,,,
ADVA,0063301012,WCM,,,,,
ADVA,0063301013,WCM #13 FC2488 63301013,,,,,
ADVA,0063303107,WCM # 7,,,,,
ADVA,0063303625,WCM 850MC2G 63303625,,,,,
ADVA,0063304505,WMC,,,,,
ADVA,0063304705,WCM # 5,,,,,
ADVA,0063304706,WCM # 6,,,,,
ADVA,0063304708,WCM#8 S-MC9953 -10312/V3,,,,,
ADVA,0063304713,WCM#13 S-MC9953 -10312/V3,,,,,
ADVA,0063306012,2TCM #12 MC-HS 63306012,,,,,
